Top 50 Liver Genes
AGT
AGXT
AHSG
ALB
ALDOB
AMBP
APCS
APOA1
APOA2
APOC1
APOC2
APOC3
APOE
APOH
ATF5
C1R
C3
CRP
CYP2E1
FGA
FGB
FGG
FGL1
FTL
GC
HP
HPD
HPX
IFITM3
IGFBP4
ITIH4
MT1G
MT2A
MTATP6P1
ORM1
ORM2
PEBP1
RBP4
SAA1
SAA2
SAA4
SERPINA1
SERPINA3
SERPINC1
SERPINF2
SERPING1
TF
TTR
VTN
